date,open,high,low,close,volume
1/27/2014,884.5999756,893,757.1099854,771.3900146,49233600
1/28/2014,774.0200195,832.5,766.9799805,812.5100098,44875500
1/29/2014,809.960022,836.8699951,809.8499756,826,17984400
1/30/2014,826.0200195,830.5,799.0599976,819.0300293,29918200
1/31/2014,818.4299927,831.8699951,812.5999756,829.9199829,17107900
2/1/2014,828.6099854,853.5200195,827.1099854,832.5800171,19668700
2/2/2014,832.9000244,844.7199707,820.6699829,825.3699951,11300900
2/3/2014,824.0800171,826.4799805,807.2199707,823.8300171,13940100
2/4/2014,823.7700195,840.1699829,820.9400024,827.960022,16609700
2/5/2014,829.960022,837.3200073,811.9099731,811.9099731,22395100
2/6/2014,815.5900269,819.8099976,770.5900269,781.5499878,50108700
2/7/2014,783.2000122,783.2000122,654.3499756,712.4000244,113643000
2/8/2014,699.5700073,721.8200073,661.8699951,673.9199829,38742600
2/9/2014,671.460022,712.2700195,655.25,682.9000244,39311400
2/10/2014,681.3200073,703.710022,550.5,681.0300293,112758000
2/11/2014,683.5,712.460022,636.6599731,672.1699829,72745200
2/12/2014,672.3800049,672.9000244,643.039978,651.7199707,25367600
2/13/2014,651.0800171,657.9899902,601.9099731,605.2399902,38588100
2/14/2014,601.1699829,691.7199707,541.039978,661.9899902,102506000
2/15/2014,660.9000244,661.8400269,632.8400269,650.9199829,26709200
2/16/2014,651.2999878,665.0999756,584.1699829,616.6300049,40061700
2/17/2014,614.2299805,656.9500122,607.3099976,626.2700195,31948400
2/18/2014,627.1599731,645.7600098,612.539978,626.5999756,20015100
2/19/2014,625.9699707,631.7700195,618.7000122,623.0300293,13897800
2/20/2014,623.0900269,627.7299805,556.1400146,556.1400146,46905000
2/21/2014,556.8800049,582.960022,530.4699707,574.1599731,47308100
2/22/2014,574.2399902,614.4799805,558.5800171,605.4199829,31254000
2/23/2014,606.4699707,639.9099731,599.7000122,605.8200073,31434400
2/24/2014,606.039978,607.6099854,538.7000122,546.3200073,57893900
2/25/2014,540.2399902,541.3800049,420.4100037,538.710022,126314000
2/26/2014,537.039978,603.7999878,532.5800171,582.6900024,64642700
2/27/2014,581.6500244,594.0499878,566.6199951,578.7700195,25540800
2/28/2014,579.7000122,584.1400146,545.1699829,549.2600098,28076100
3/1/2014,549.9199829,573.3800049,539.289978,565.6099854,18668100
3/2/2014,567.2299805,570.4799805,553.2700195,559.789978,7950760
3/3/2014,562.5599976,702.9099731,560.5200195,667.7600098,96056896
3/4/2014,668.2399902,696.2199707,655.6799927,666.7800293,55344600
3/5/2014,666.2399902,674.2800293,646.2800293,665.5100098,22461900
3/6/2014,664.5200195,669.7700195,649.789978,663.8599854,16068100
3/7/2014,664.3099976,665.3400269,616.3499756,629.1500244,34150800
3/8/2014,629.6599731,635.1400146,604.460022,617.4500122,18654200
3/9/2014,616.3099976,643.9500122,612.3499756,636.960022,15396500
3/10/2014,636.3300171,644.7600098,615.0200195,627.789978,20639800
3/11/2014,627.9500122,638.4199829,618.8400269,634.1099854,11732500
3/12/2014,631.9099731,648.0300293,629.5100098,632.0999756,18621200
3/13/2014,633.6199951,644.2000122,630.8499756,638.1400146,11634900
3/14/2014,638.1400146,639.5300293,627.210022,628.7999878,11913800
3/15/2014,629.3699951,639.1400146,627.2999878,636.1199951,4342080
3/16/2014,636.5,637.5200195,628.1099854,631.1099854,5277290
3/17/2014,630.9199829,632.6799927,616.8549805,622.3729858,14648200
3/18/2014,621.8380127,622.3909912,603.7960205,614.8319702,24011500
3/19/2014,613.8959961,622,609.0960083,609.8880005,14228900
3/20/2014,609.7449951,609.7449951,587.492981,588.7700195,20572900
3/21/2014,588.2940063,604.59198,561.8129883,571.4899902,38414100
3/22/2014,571.1799927,572.5479736,554.3909912,565.039978,17360700
3/23/2014,565.7639771,570.2379761,560.8779907,561.2719727,9288400
3/24/2014,562.507019,586.5620117,551.7719727,583.4119873,22706900
3/25/2014,585.026001,585.4379883,572.6049805,583.9169922,14020100
3/26/2014,583.4819946,590.0280151,570.9630127,580.8270264,16401100
3/27/2014,580.257019,580.5599976,471.2390137,471.2390137,62225400
3/28/2014,477.1430054,526.0230103,473.2340088,495.6659851,58828300
3/29/2014,501.7130127,504.8590088,489.7340088,491.1719971,11147100
3/30/2014,492.3720093,492.3720093,444.1789856,460.2730103,42958300
3/31/2014,462.2990112,483.0220032,443.3649902,457.0010071,28254000
4/1/2014,457,495.3429871,457,478.375,35685800
4/2/2014,479.1369934,495.0450134,431.2690125,437.1400146,49647600
4/3/2014,436.4440002,449.5650024,414.8900146,444.7179871,40765500
4/4/2014,445.6640015,454.6520081,429.0910034,447.526001,22925500
4/5/2014,446.6749878,463.5710144,444.196991,461.9070129,13404500
4/6/2014,463.3970032,466.3190002,452.9700012,460.4989929,10241400
4/7/2014,461.473999,462.5639954,445.1220093,449.4230042,15616600
4/8/2014,447.6130066,457.4240112,446.1140137,453.0859985,10921600
4/9/2014,453.177002,455.7279968,441.9330139,442.7250061,13204400
4/10/2014,442.256012,443.3659973,358.7319946,365.1759949,55868300
4/11/2014,363.7099915,429.7669983,351.2720032,420.946991,62562800
4/12/2014,420.8890076,439.6059875,415.7890015,421.1159973,19226500
4/13/2014,421.4609985,427.3980103,395.2539978,414.0629883,22493500
4/14/2014,414.8280029,469.7510071,407.3729858,458.7869873,50730200
4/15/2014,458.3729858,518.9959717,453.5429993,515.5859985,49561000
4/16/2014,522.1849976,542.3779907,502.7810059,527.3950195,56480100
4/17/2014,529.0670166,533.5170288,484.8739929,495.9630127,34025500
4/18/2014,495.7980042,498.6010132,472.7409973,479.644989,19042400
4/19/2014,479.5820007,503.5549927,470.5610046,501.5650024,19588200
4/20/2014,501.7510071,510.8710022,490.8399963,498.1679993,12103100
4/21/2014,497.7390137,510.5679932,493.2009888,495.7730103,15171400
4/22/2014,495.4549866,503.2219849,487.5799866,487.9240112,11670900
4/23/2014,488.3590088,493.2489929,485.8169861,491.303009,9814530
4/24/2014,490.8250122,500.4649963,482.9519958,500.4649963,13009400
4/25/2014,500.0870056,500.2990112,442.9509888,461.4490051,46856500
4/26/2014,461.7049866,464.5429993,449.1029968,458.6010132,12214600
4/27/2014,457.2420044,459.3299866,436.3900146,436.3900146,10949500
4/28/2014,430.7160034,447.5339966,422.9419861,440.2850037,23876600
4/29/2014,439.9830017,451.6359863,435.1809998,447.2090149,16401400
4/30/2014,446.8900146,451.098999,436.6990051,447.644989,15244900
5/1/2014,447.6329956,460.6140137,447.6329956,457.7600098,12871800
5/2/2014,457.3640137,457.9289856,443.4030151,449.3770142,10394200
5/3/2014,449.4030151,449.4030151,430.6820068,437.7619934,9849640
5/4/2014,438.5169983,439.7690125,430.0539856,436.4030151,5621260
5/5/2014,434.7820129,440.973999,427.6170044,433.4819946,10004800
5/6/2014,433.3640137,448.0379944,423.2510071,428.9620056,12507300
5/7/2014,429.3410034,446.1279907,428.4509888,438.8210144,18332200
